name,price,point
東芝　2ドア冷蔵庫 セミマットブラック GR-V15BS(K) [幅47.9cm /153L /2ドア /右開きタイプ /2023年],"36,702円",NA
パナソニック　冷蔵庫 FVFシリーズ ハーモニーホワイト NR-FVF45S1-W [幅68.5cm /451 /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"149,094円",NA
東芝　3ドア冷蔵庫 マットチャコール GR-V33SC(KZ) [幅60cm /326L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"85,707円",NA
東芝　2ドア冷蔵庫 セミマットホワイト GR-V15BS(W) [幅47.9cm /153L /2ドア /右開きタイプ /2023年],"36,702円",NA
パナソニック　冷蔵庫 シンプル2ドアタイプ ダークグレー NR-B252T-H [幅55.5cm /248L /2ドア /右開きタイプ /2023年] 《基本設置料金セット》,"62,172円",NA
シャープ　冷蔵庫 マットホワイト SJ-D18K-W [幅49.5cm /179L /2ドア /右開き/左開き付け替えタイプ /2023年],"53,840円","5,384ポイント"
日立　冷蔵庫 ライトゴールド R-27TV-N [幅54cm /265L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"99,110円","9,911ポイント"
ハイセンス　冷蔵庫 ダークブラウン HR-G13C-BR [幅48.1cm /135L /2ドア /右開きタイプ /2022年],"34,800円",348ポイント
シャープ　冷蔵庫 マットシャンパン SJ-BD23M-W [幅54.4cm /230L /2ドア /右開きタイプ /2023年] 《基本設置料金セット》,"70,128円",NA
AQUA　冷蔵庫 ダークシルバー AQR-SBS48P(DS) [幅83.5cm /475L /2ドア /観音開きタイプ /2023年] 《基本設置料金セット》,"102,740円",NA
東芝　冷蔵庫 サテンゴールド GR-W510FH-EC [幅６５ｃｍ /５０９L /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"183,150円",NA
ハイセンス　冷蔵庫 ホワイト HR-B12HW [幅47.5cm /124L /2ドア /右開きタイプ /2023年],"29,800円",298ポイント
東芝　冷蔵庫 サテンゴールド GR-W460FH-EC [幅６５ｃｍ /４６２L /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"178,200円",NA
シャープ　冷蔵庫 マットシルバー SJ-X370M-S [60cm /374L /3ドア /左右開きタイプ] 《基本設置料金セット》,"107,468円",NA
ハイセンス　冷凍冷蔵庫 ブラウン HR-G280HBR [幅55cm /283L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"69,800円",698ポイント
日立　冷蔵庫 Vタイプ ライトゴールド R-V32TV-N [幅54cm /315L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"126,620円","12,662ポイント"
ハイセンス　冷蔵庫 ガラスホワイト HR-G3601W [幅59.8cm /358L /3ドア /右開きタイプ /2021年] 《基本設置料金セット》,"89,800円",898ポイント
三菱電機　冷蔵庫 クリスタルホワイト MR-GW52TJ-W [幅65cm /517L /6ドア /観音開きタイプ /2023年]【ビックカメラ.com限定】 《基本設置料金セット》,"193,990円","19,399ポイント"
東芝　冷蔵庫 マットホワイト GR-W41GH-WU [幅６０．０ｃｍ /４１１L /5ドア /右開きタイプ /2024年] 《基本設置料金セット》,"133,236円",NA
三菱電機　冷蔵庫 Pシリーズ マットチャコール MR-P15J-H [幅48cm /146L /2ドア /右開きタイプ /2023年],"43,310円","4,331ポイント"
東芝　3ドア冷蔵庫 マットホワイト GR-V33SC(WU) [幅60cm /326L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"85,707円",NA
シャープ　冷蔵庫 マットダークグレー SJ-D15K-H [幅49.5cm /152L /2ドア /右開き/左開き付け替えタイプ /2023年],"44,676円",NA
パナソニック　冷蔵庫 パーソナルタイプ マットブラック NR-B18C1-K [幅49.7cm /180L /2ドア /右開きタイプ /2023年],"57,096円",NA
AQUA　冷蔵庫 SIMPLE＋ ダークシルバー AQR-20PBK(DS) [幅53cm /200L /2ドア /右開きタイプ /2023年] 《基本設置料金セット》,"59,800円","5,980ポイント"
日立　冷蔵庫 Hタイプ シルバー R-H54V-S [幅65cm /540L /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"266,440円","26,644ポイント"
AQUA　冷蔵庫 SIMPLE＋ スノーホワイト AQR-20PBK(W) [幅53cm /200L /2ドア /右開きタイプ /2023年] 《基本設置料金セット》,"59,800円","5,980ポイント"
アビテラックス　冷蔵庫 ホワイト AR-131 [幅47.5cm /139L /2ドア /右開きタイプ /2021年],"29,800円","2,980ポイント"
日立　冷蔵庫 HWSタイプ ライトゴールド R-HWS47T-N [幅60cm /470L /5ドア /右開きタイプ /2023年] 《基本設置料金セット》,"210,440円","21,044ポイント"
AQUA　冷蔵庫 ブライトシルバー AQR-SV27PBK(S) [幅60cm /272L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"107,800円","10,780ポイント"
東芝　2ドア冷蔵庫 セミマットホワイト GR-V17BS(W) [幅47.9cm /170L /2ドア /右開きタイプ /2023年],"42,858円",NA
三菱電機　冷蔵庫 Pシリーズ マットホワイト MR-P15J-W [幅48cm /146L /2ドア /右開きタイプ /2023年],"43,310円","4,331ポイント"
AQUA　冷蔵庫 SIMPLE＋ シャイニーシルバー AQR-14PBK(S) [幅49.5cm /135L /2ドア /右開きタイプ /2023年],"41,800円","4,180ポイント"
東芝　使い切り野菜BOX GR-FVB1,"5,470円",547ポイント
東芝　冷蔵庫 グランホワイト GR-W510FH-EW [幅６５ｃｍ /５０９L /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"183,150円",NA
日立　冷蔵庫 Vタイプ ライトゴールド R-V32TVL-N [幅54cm /315L /3ドア /左開きタイプ /2023年] 《基本設置料金セット》,"116,620円","11,662ポイント"
日立　冷蔵庫 Vタイプ ライトゴールド R-V38TV-N [幅60cm /375L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"135,280円","13,528ポイント"
ハイセンス　冷蔵庫 ガラスホワイト HR-G13C-W [幅48.1cm /135L /2ドア /右開きタイプ /2022年],"34,800円",348ポイント
日立　冷蔵庫 Hタイプ シルバー R-H49V-S [幅65cm /485L /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"244,220円","24,422ポイント"
パナソニック　冷蔵庫 パーソナルタイプ マットオフホワイト NR-B16C1-W [幅49.7cm /156L /2ドア /右開きタイプ /2023年],"48,906円",NA
シャープ　冷蔵庫 アコールブラウン SJ-PD28K-T [幅56cm /280L /2ドア /右開きタイプ /2023年] 《基本設置料金セット》,"85,698円",NA
三菱電機　冷蔵庫 Pシリーズ マットチャコール MR-P17J-H [幅48cm /168L /2ドア /右開きタイプ /2023年],"52,560円","5,256ポイント"
パナソニック　冷蔵庫 Cタイプ グレイスホワイト NR-C344C-W [幅59cm /335L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"114,950円","11,495ポイント"
シャープ　プラズマクラスター冷蔵庫 アッシュシルバー系 SJ-X500M-S [68.5cm /502L /6ドア /観音開きタイプ] 《基本設置料金セット》,"177,246円",NA
東芝　3ドア冷蔵庫 マットチャコール GR-V36SC(KZ) [幅60cm /356L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"94,311円",NA
東芝　冷蔵庫 フロストグレージュ GR-W450GT(TH) [60cm /452L /5ドア /右開きタイプ /2024年] 《基本設置料金セット》,"226,116円",NA
シャープ　冷蔵庫 マットホワイト SJ-D15K-W [幅49.5cm /152L /2ドア /右開き/左開き付け替えタイプ /2023年],"44,676円",NA
ORIGINAL BASIC　冷蔵庫 ホワイト OBBR-181A(W) [2ドア /右開きタイプ /181L],"39,800円","3,980ポイント"
パナソニック　冷蔵庫 パーソナルタイプ マットブラック NR-B16C1-K [幅49.7cm /156L /2ドア /右開きタイプ /2023年],"48,906円",NA
パナソニック　冷蔵庫 WXタイプ ミスティスチールグレー NR-F55WX1-H [幅68.5cm /551L /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"326,700円",NA
日立　【アウトレット品】《基本設置料金セット》 冷蔵庫 ライトゴールド R-27SV-N [幅54cm /265L /3ドア /右開きタイプ /2022年] 【生産完了品】,"89,980円",NA
ハイセンス　冷蔵庫 ホワイト HR-D16F [幅48.1cm /162L /2ドア /右開きタイプ /2022年],"39,800円",398ポイント
シャープ　プラズマクラスター冷蔵庫 ラスティックダークメタル系 SJ-MF43M-H [65cm /429L /6ドア /観音開きタイプ] 《基本設置料金セット》,"224,496円",NA
シャープ　プラズマクラスター冷蔵庫 マットオフホワイト SJ-P410M-W [60cm /408L /5ドア /左右開きタイプ] 《基本設置料金セット》,"163,188円",NA
ハイアール　ハイアール　フレンチドア冷蔵庫406L ホワイト　JR-GX41A　自動製氷機能 クリスタルホワイト JR-GX41A(W) [幅70cm /406L /4ドア /観音...,"99,800円",NA
東芝　3ドア冷蔵庫 グレインアイボリー GR-V36SV(UC) [幅60cm /356L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"99,711円",NA
東芝　2ドア冷蔵庫 セミマットブラック GR-V17BS(K) [幅47.9cm /170L /2ドア /右開きタイプ /2023年],"42,858円",NA
三菱電機　冷蔵庫 CXシリーズ マットチャコール MR-CX27K-H [272 /3ドア /右開きタイプ /2024年] 《基本設置料金セット》,"117,999円",NA
東芝　3ドア冷蔵庫 マットホワイト GR-V36SC(WU) [幅60cm /356L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"94,311円",NA
シャープ　冷蔵庫 アコールブラック SJ-PD31K-B [幅56cm /310L /2ドア /右開きタイプ /2023年] 《基本設置料金セット》,"101,691円",NA
東芝　冷蔵庫 マットホワイト GR-W41GHL-WU [幅６０．０ｃｍ /４１１L /5ドア /左開きタイプ /2024年] 《基本設置料金セット》,"133,236円",NA
ハイセンス　冷蔵庫 ホワイト HR-B91HW [幅47.5cm /87L /2ドア /右開きタイプ /2023年],"26,800円",268ポイント
ハイアール　冷蔵庫 SLIMORE（スリモア） チャコールブラック JR-CV34B(K) [幅54cm /335L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"82,280円",NA
パナソニック　冷蔵庫 パーソナルタイプ マットオフホワイト NR-B18C1-W [幅49.7cm /180L /2ドア /右開きタイプ /2023年],"57,096円",NA
三菱電機　冷蔵庫 Pシリーズ マットホワイト MR-P17J-W [幅48cm /168L /2ドア /右開きタイプ /2023年],"52,560円","5,256ポイント"
AQUA　冷蔵庫 SIMPLE＋ ダークシルバー AQR-17PBK(DS) [幅53cm /169L /2ドア /右開きタイプ /2023年],"54,800円","5,480ポイント"
ORIGINAL BASIC　冷蔵庫 ホワイト BR-85A-W [幅47.4cm /85L /2ドア /右開きタイプ /2021年] [冷凍室 25L],"29,800円",298ポイント
シャープ　冷蔵庫 アコールホワイト SJ-PD28K-W [幅56cm /280L /2ドア /右開きタイプ /2023年] 《基本設置料金セット》,"85,698円",NA
シャープ　両開き冷蔵庫 マットオフホワイト SJ-PW37K-W [幅60cm /374L /3ドア /左右開きタイプ /2023年] 《基本設置料金セット》,"142,740円",NA
三菱電機　【アウトレット品】 冷蔵庫 マットホワイト MR-P17H-W [幅48cm /2022年] 【生産完了品】,"49,980円",NA
ORIGINAL BASIC　冷蔵庫 ホワイト OBBR-121A(W) [幅49.5cm /121L /2ドア /右開きタイプ /2023年],"36,800円",368ポイント
ツインバード　冷蔵庫 ブラック HR-EJ23B [(約)57.5cm /(約)231L /2ドア /右開きタイプ /2024年] 《基本設置料金セット》,"68,750円","6,875ポイント"
ハイセンス　冷蔵庫 ブラック HR-D16FB [幅48.1cm /162L /2ドア /右開きタイプ /2022年],"39,800円",398ポイント
東芝　冷蔵庫 グランホワイト GR-W460FH-EW [幅６５ｃｍ /４６２L /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"178,200円",NA
ORIGINAL BASIC　冷蔵庫『床』傷防止パネル　XSサイズ,"3,880円",388ポイント
日立　冷蔵庫 Vタイプ ピュアホワイト R-V38TV-W [幅60cm /375L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"135,280円","13,528ポイント"
日立　冷蔵庫 Vタイプ ピュアホワイト R-V38TVL-W [幅60cm /375L /3ドア /左開きタイプ /2023年] 《基本設置料金セット》,"135,280円","13,528ポイント"
シャープ　プラズマクラスター冷蔵庫 ラスティックダークメタル系 SJ-MF51M-H [68.5cm /505L /6ドア /観音開きタイプ] 《基本設置料金セット》,"269,793円",NA
AQUA　冷蔵庫 Delie チタニウムシルバー AQR-V43P(S) [幅60cm /430L /4ドア /右開きタイプ /2024年] 《基本設置料金セット》,"137,583円",NA
ハイセンス　冷凍冷蔵庫 ホワイト HR-G260HW [幅55cm /257L /2ドア /右開きタイプ /2024年] 《基本設置料金セット》,"59,800円",598ポイント
東芝　冷蔵庫 フロストホワイト GR-W500GT(TW) [60cm /501L /5ドア /右開きタイプ /2024年] 《基本設置料金セット》,"243,234円",NA
東芝　冷蔵庫 サテンゴールド GR-W550FH-EC [幅６８．５ｃｍ /５５１L /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"193,050円",NA
日立　冷蔵庫 WXCタイプ クリスタルミラー R-WXC74V-X [幅88cm /735L /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"444,890円","44,489ポイント"
東芝　冷蔵庫 フロストホワイト GR-W550FZS(TW) [68.5cm /550L /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"336,880円","33,688ポイント"
コジット　コロガシーナ350ml ホワイト,785円,79ポイント
日立　冷蔵庫 Vタイプ ライトゴールド R-V38TVL-N [幅60cm /375L /3ドア /左開きタイプ /2023年] 《基本設置料金セット》,"135,280円","13,528ポイント"
三菱電機　冷蔵庫 MZシリーズ グランドクレイベージュ MR-MZ54K-C [幅65.0cm /540L /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"289,809円",NA
アイリスオーヤマ　冷蔵庫 170L ホワイト IRSD-17A-W [44.4cm /170L /2ドア /右開きタイプ],"38,470円","3,847ポイント"
東芝　3ドア冷蔵庫 アッシュグレージュ GR-V36SV(ZH) [幅60cm /356L /3ドア /右開きタイプ /2023年] 《基本設置料金セット》,"99,711円",NA
東芝　冷蔵庫 グランホワイト GR-W550FH-EW [幅６８．５ｃｍ /５５１L /6ドア /観音開きタイプ /2024年] 《基本設置料金セット》,"193,050円",NA
三菱電機　冷蔵庫 CXシリーズ マットホワイト MR-CX27K-W [272 /3ドア /右開きタイプ /2024年] 《基本設置料金セット》,"117,999円",NA
ハイアール　冷蔵庫 シルバー JR-27B-S [幅59cm /270L /2ドア /右開きタイプ /2022年] 《基本設置料金セット》,"53,818円",NA
三菱電機　冷蔵庫 Cシリーズ ホワイト MR-C33K-W [330 /3ドア /右開きタイプ /2024年] 《基本設置料金セット》,"116,820円",NA
日立　冷蔵庫 Chiiil（チール） トープ R-MR7SL-T [幅55.9cm /73L /1ドア /左開きタイプ /2022年],"65,020円","6,502ポイント"
日立　冷蔵庫 Chiiil（チール） ブリック R-MR7S-R [幅55.9cm /73L /1ドア /右開きタイプ /2022年],"65,020円","6,502ポイント"
日立　冷蔵庫 Chiiil（チール） モス R-MR7SL-G [幅55.9cm /73L /1ドア /左開きタイプ /2022年],"65,020円","6,502ポイント"
日立　冷蔵庫 Chiiil（チール） ノルディック R-MR7SL-HL [幅55.9cm /73L /1ドア /左開きタイプ /2022年],"65,020円","6,502ポイント"
日立　冷蔵庫 Chiiil（チール） ウェンジ R-MR7S-TD [幅55.9cm /73L /1ドア /右開きタイプ /2022年],"65,020円","6,502ポイント"
日立　冷蔵庫 Chiiil（チール） オーク R-MR7SL-Y [幅55.9cm /73L /1ドア /左開きタイプ /2022年],"65,020円","6,502ポイント"
日立　冷蔵庫 Chiiil（チール） グレージュ R-MR7SL-C [幅55.9cm /73L /1ドア /左開きタイプ /2022年],"65,020円","6,502ポイント"
日立　冷蔵庫 Chiiil（チール） グラファイト R-MR7SL-H [幅55.9cm /73L /1ドア /左開きタイプ /2022年],"65,020円","6,502ポイント"
